Category,Committee Name,URL
Information & Training,Committee Handbook,https://sfsc.sharepoint.com/:b:/r/sites/pod/SiteCollectionDocuments/Committee%20Handbook%202023-24.pdf?csf=1&web=1&e=iG6R0J
Information & Training,Committee Membership,https://sfsc.sharepoint.com/sites/pod/SiteCollectionDocuments/Committee%20Membership%202023-2024.docx.pdf
Information & Training,Sample Committee Site,https://sfsc.sharepoint.com/sites/committees/sample
Active Committee List,Academic Appeals,https://sfsc.sharepoint.com/sites/committees/academic-appeals
Active Committee List,Academic Quality,https://sfsc.sharepoint.com/sites/committees/academic-quality
Active Committee List,AVID Site Team,https://sfsc.sharepoint.com/sites/committees/AVID-Site-Team/SitePages/Home.aspx
Active Committee List,Banner Project Team,https://sfsc.sharepoint.com/sites/committees/banner-project
Active Committee List,Catalog/Handbook Committee,https://sfsc.sharepoint.com/sites/committees/catalog-committee
Active Committee List,Commencement Committee,https://sfsc.sharepoint.com/sites/committees/commencement-committee
Active Committee List,Cultural Programs,https://sfsc.sharepoint.com/sites/committees/cultural-programs
Active Committee List,Curriculum Committee,https://sfsc.sharepoint.com/sites/committees/curriculum-committee
Active Committee List,DAG Data Analysis Group,https://sfsc.sharepoint.com/sites/committees/data-analysis-group
Active Committee List,Deans and Directors,https://sfsc.sharepoint.com/sites/committees/deans-and-directors
Active Committee List,Degree Works Implementation,https://sfsc.sharepoint.com/sites/committees/degree-works-implementation
Active Committee List,Dual Enrollment Taskforce,https://sfsc.sharepoint.com/sites/committees/dual-enrollment-taskforce
Active Committee List,eLearning Committee (LASS),https://sfsc.sharepoint.com/sites/committees/elearning-committee-lass
Active Committee List,eLearning Department,https://sfsc.sharepoint.com/sites/committees/elearning-department
Active Committee List,Enrollment Management,https://sfsc.sharepoint.com/sites/committees/enrollment-management
Active Committee List,Equity Committee,https://sfsc.sharepoint.com/sites/committees/equity-committee
Active Committee List,Faculty Council,https://sfsc.sharepoint.com/sites/committees/faculty-council
Active Committee List,Faculty Forum,https://sfsc.sharepoint.com/sites/committees/faculty-forum
Active Committee List,Fin-Aid and Scholarship Committee,https://sfsc.sharepoint.com/sites/committees/Fin-Aid-and-Scholarship
Active Committee List,Financial Aid Appeals,https://sfsc.sharepoint.com/sites/committees/financial-aid-appeals
Active Committee List,FYE Academy/TEI,https://sfsc.sharepoint.com/sites/committees/fye-academy
Active Committee List,General Committee,https://sfsc.sharepoint.com/sites/committees/general-committee
Active Committee List,GPS Orientation Implementation,https://sfsc.sharepoint.com/sites/committees/gps-orientation-implementation
Active Committee List,GPS Oversight Committee,https://sfsc.sharepoint.com/sites/committees/gps-oversight-committee
Active Committee List,GPS Technology Review,https://sfsc.sharepoint.com/sites/committees/gps-technology-review
Active Committee List,Hobsons,https://sfsc.sharepoint.com/sites/committees/hobsons
Active Committee List,Honors Council (LASS),https://sfsc.sharepoint.com/sites/committees/honors-council-lass
Active Committee List,Information Technology Security Response Committee,https://sfsc.sharepoint.com/sites/committees/Information-Technology-Security
Active Committee List,Institutional Review Board,https://sfsc.sharepoint.com/sites/committees/institutional-review-board
Active Committee List,Learning and Student Success,https://sfsc.sharepoint.com/sites/committees/learning-and-student-success
Active Committee List,MOFAC Advisory Committee,https://sfsc.sharepoint.com/sites/committees/mofac-advisory-committee
Active Committee List,Planning for Academic Affairs and Student Services,https://sfsc.sharepoint.com/sites/committees/PAASS
Active Committee List,Portal Advisory Committee,https://sfsc.sharepoint.com/sites/committees/portal-advisory-committee
Active Committee List,President's Council,https://sfsc.sharepoint.com/sites/committees/presidents-council
Active Committee List,Safety and Security Committee,https://sfsc.sharepoint.com/sites/committees/safety-and-security-committee
Active Committee List,Sick Leave Pool Committee,https://sfsc.sharepoint.com/sites/committees/sick-leave-pool-committee
Active Committee List,Special Exceptions Committee,https://sfsc.sharepoint.com/sites/committees/special-exceptions-committee
Active Committee List,Staff and Professional Development,https://sfsc.sharepoint.com/sites/committees/staff-and-professional-development
Active Committee List,Strategic Planning Committee,https://sfsc.sharepoint.com/sites/committees/strategic-planning-committee
Active Committee List,Student Success Committee,https://sfsc.sharepoint.com/sites/committees/student-success-committee
Active Committee List,Students with Disabilities Committee,https://sfsc.sharepoint.com/sites/committees/students-with-disabilities-committee
Active Committee List,Technology Committee,https://sfsc.sharepoint.com/sites/committees/technology-committee
Active Committee List,Wellness Committee,https://sfsc.sharepoint.com/sites/committees/wellness-committee
Professional Groups,Association of Florida Colleges (AFC),https://sfsc.sharepoint.com/sites/committees/afc
Professional Groups,Happenings in Higher Education,https://sfsc.sharepoint.com/sites/committees/happenings-in-higher-ed